model,accuracy,precision,recall,f1,auc,ap,brier
Logistic Regression,0.8933333333333333,0.9032258064516129,0.8484848484848485,0.875,0.9624819624819625,0.9564128764305997,0.08079423478662724
Random Forest,0.8933333333333333,0.9310344827586207,0.8181818181818182,0.8709677419354839,0.9556277056277056,0.9560046059395239,0.08292183333333333
