auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,repeat,fold
0.8125701459034792,0.6810968933890491,0.18712998601669786,0.17714122049363065,0.7333333333333333,0.7239057239057239,0.68,0.7391304347826086,0.6296296296296297,0.4582149594801373,0,0
0.8591470258136925,0.8288281315744145,0.15625250096362153,0.1635942432569108,0.7166666666666667,0.7121212121212122,0.6792452830188679,0.6923076923076923,0.6666666666666666,0.4259188050152892,0,1
0.7562217194570136,0.6634476172845366,0.21060734523224653,0.17330355155218552,0.65,0.6368778280542986,0.5714285714285714,0.6086956521739131,0.5384615384615384,0.2790130094349315,0,2
0.8421945701357466,0.8384965155246967,0.16863689074614077,0.16592997449560304,0.7833333333333333,0.7816742081447964,0.7547169811320755,0.7407407407407407,0.7692307692307693,0.561131124067762,0,3
0.8042986425339367,0.7596510224322914,0.18416481467293336,0.115542490750499,0.7333333333333333,0.7330316742081449,0.7037037037037037,0.6785714285714286,0.7307692307692307,0.4629318682846988,0,4
0.8355780022446688,0.7622443466544662,0.17187397228654536,0.18195449384970583,0.7333333333333333,0.7239057239057239,0.68,0.7391304347826086,0.6296296296296297,0.4582149594801373,1,0
0.7957351290684623,0.7757228170361203,0.18669284644691367,0.16140286747244065,0.65,0.6447811447811448,0.6037735849056604,0.6153846153846154,0.5925925925925926,0.29070648596281645,1,1
0.826923076923077,0.790929589785425,0.1776889440708624,0.194754840673036,0.7333333333333333,0.751131221719457,0.7419354838709677,0.6388888888888888,0.8846153846153846,0.5080424086525079,1,2
0.8150452488687783,0.7018230054114409,0.18118204616323116,0.18482540345123927,0.7166666666666667,0.7047511312217194,0.6530612244897959,0.6956521739130435,0.6153846153846154,0.4173665678324182,1,3
0.8037330316742082,0.7195115875169376,0.18367898836978852,0.16128092303587702,0.75,0.747737556561086,0.7169811320754716,0.7037037037037037,0.7307692307692307,0.4935249645415256,1,4
0.8092031425364759,0.7253462718390452,0.17984505669191003,0.12035743622207914,0.7333333333333333,0.7272727272727273,0.6923076923076923,0.72,0.6666666666666666,0.458682472293863,2,0
0.6459034792368126,0.5577182337390485,0.26008113477813727,0.2590524171374252,0.5333333333333333,0.5151515151515151,0.391304347826087,0.47368421052631576,0.3333333333333333,0.03240829499241754,2,1
0.8806561085972852,0.8649777918995071,0.1422954715597184,0.13737853753752344,0.7833333333333333,0.7680995475113122,0.723404255319149,0.8095238095238095,0.6538461538461539,0.5570706251171438,2,2
0.8885746606334841,0.884101071081395,0.13916645163754493,0.12048770390690101,0.7166666666666667,0.7228506787330318,0.7017543859649122,0.6451612903225806,0.7692307692307693,0.44196740708205545,2,3
0.7952488687782806,0.6760663565042784,0.18229145790313397,0.12348593260453829,0.7166666666666667,0.7092760180995474,0.6666666666666666,0.68,0.6538461538461539,0.4206990826757158,2,4
0.7861952861952862,0.6767529554068068,0.20050934716144128,0.1739964953018921,0.7166666666666667,0.702020202020202,0.6382978723404256,0.75,0.5555555555555556,0.42640143271122083,3,0
0.8540965207631874,0.7955394452999818,0.16294883684720177,0.16238476359760734,0.7166666666666667,0.6952861952861953,0.6046511627906976,0.8125,0.48148148148148145,0.4393939393939394,3,1
0.8031674208144797,0.7546234374916561,0.1922179046048267,0.14207152151320068,0.7166666666666667,0.7364253393665159,0.7301587301587301,0.6216216216216216,0.8846153846153846,0.48193156175124535,3,2
0.8653846153846153,0.7638719435496275,0.15281795186556157,0.1423235704505636,0.7333333333333333,0.7194570135746606,0.6666666666666666,0.7272727272727273,0.6153846153846154,0.45133857602476013,3,3
0.7946832579185521,0.708952074690941,0.19049478760452104,0.15343645334608547,0.7333333333333333,0.7285067873303167,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.45701357466063347,3,4
0.7957351290684624,0.6861233286782384,0.1851493264570768,0.1313575022020505,0.7,0.6936026936026936,0.6538461538461539,0.68,0.6296296296296297,0.39072951343551293,4,0
0.82996632996633,0.7568385275493117,0.1787397796523344,0.1590556967040752,0.75,0.7424242424242424,0.7058823529411765,0.75,0.6666666666666666,0.4923659639173309,4,1
0.8636877828054299,0.842519490711743,0.15057337726935574,0.17243302933486118,0.7833333333333333,0.7771493212669682,0.7450980392156863,0.76,0.7307692307692307,0.5571420284083805,4,2
0.8766968325791855,0.8168718309430576,0.15329548887296157,0.15333680007528605,0.7833333333333333,0.7635746606334841,0.7111111111111111,0.8421052631578947,0.6153846153846154,0.5615533925834306,4,3
0.6906108597285068,0.6072999070654288,0.23431365059264406,0.19457151076615198,0.6166666666666667,0.6074660633484164,0.5490196078431373,0.56,0.5384615384615384,0.21603466407671892,4,4
0.7676767676767676,0.650579125191296,0.19072500808663082,0.11388776162546922,0.6666666666666666,0.67003367003367,0.6551724137931034,0.6129032258064516,0.7037037037037037,0.3385508672269438,5,0
0.8282828282828283,0.7639018627016257,0.17599517226447742,0.18741345615005509,0.6666666666666666,0.6464646464646464,0.5454545454545454,0.7058823529411765,0.4444444444444444,0.3234021976888321,5,1
0.795814479638009,0.7667561109961737,0.1797490867257744,0.19276093609580203,0.7,0.6990950226244343,0.6666666666666666,0.6428571428571429,0.6923076923076923,0.39551460591314075,5,2
0.8342760180995475,0.7210277727572344,0.1835761391897159,0.14642701411980913,0.6833333333333333,0.6527149321266968,0.5365853658536586,0.7333333333333333,0.4230769230769231,0.34953103682127784,5,3
