auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,repeat,fold,model
0.9764309764309764,0.9734931645157088,0.07045308040949419,0.09861426013232681,0.9,0.8922558922558923,0.88,0.9565217391304348,0.8148148148148148,0.8027374854050526,0,0,LR(isotonic)
0.9915824915824916,0.9891959891959892,0.03742487081729299,0.04572173098465883,0.9333333333333333,0.9292929292929293,0.9230769230769231,0.96,0.8888888888888888,0.8664002254439634,0,1,LR(isotonic)
0.9819004524886878,0.9791860247032661,0.062171274304270795,0.07595867129871009,0.9,0.9027149321266968,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.8000181801424892,0,2,LR(isotonic)
0.9937782805429863,0.9914451645220876,0.03331797716460896,0.06744961447745101,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,0,3,LR(isotonic)
0.9852941176470589,0.9857164857164857,0.040146333414061326,0.0701492790319687,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,0,4,LR(isotonic)
0.9876543209876544,0.9846010031195216,0.04612398303044077,0.05928300094966761,0.9333333333333333,0.9326599326599327,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8653198653198653,1,0,LR(isotonic)
0.9792368125701459,0.9743956052827021,0.06293077331785474,0.058468970026057825,0.9166666666666666,0.9074074074074074,0.8979591836734694,1.0,0.8148148148148148,0.8411910241920598,1,1,LR(isotonic)
0.9802036199095023,0.9759588074067712,0.06083828132159372,0.07388781527319822,0.9,0.8936651583710407,0.88,0.9166666666666666,0.8461538461538461,0.79639080275258,1,2,LR(isotonic)
0.9785067873303167,0.9738465557431075,0.06442972263688056,0.07574313350257479,0.9,0.8981900452488687,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.7963800904977375,1,3,LR(isotonic)
0.9734162895927603,0.9725457875457876,0.046336137396507465,0.06440670013458236,0.9166666666666666,0.9174208144796381,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.8315557621727075,1,4,LR(isotonic)
0.9955106621773289,0.99480021893815,0.02879535271843946,0.04504115817113434,0.95,0.9545454545454546,0.9473684210526315,0.9,1.0,0.9045340337332909,2,0,LR(isotonic)
0.9242424242424243,0.8985568199797672,0.09153627939030724,0.1265853193458553,0.9166666666666666,0.9141414141414141,0.9056603773584906,0.9230769230769231,0.8888888888888888,0.8315557621727075,2,1,LR(isotonic)
0.9785067873303168,0.9746448592844253,0.07044576527948719,0.07896217944511652,0.9166666666666666,0.9038461538461539,0.8936170212765957,1.0,0.8076923076923077,0.8391317011258241,2,2,LR(isotonic)
0.997737556561086,0.9970962086346702,0.018557777409517463,0.03232025279592901,0.9833333333333333,0.9852941176470589,0.9811320754716981,0.9629629629629629,1.0,0.9667680812251803,2,3,LR(isotonic)
0.9830316742081447,0.98015068096204,0.04946114462336329,0.08327223073159404,0.9166666666666666,0.9128959276018099,0.9019607843137255,0.92,0.8846153846153846,0.8300279198737096,2,4,LR(isotonic)
0.9921436588103254,0.9910029855563625,0.035075205064088726,0.05659880743639384,0.9666666666666667,0.962962962962963,0.9615384615384616,1.0,0.9259259259259259,0.9343531843023135,3,0,LR(isotonic)
0.9809203142536476,0.9775790964201956,0.053202478074505156,0.054212119496835284,0.9166666666666666,0.9141414141414141,0.9056603773584906,0.9230769230769231,0.8888888888888888,0.8315557621727075,3,1,LR(isotonic)
0.9937782805429864,0.9918414918414918,0.04865833049948677,0.08623462349041694,0.9333333333333333,0.9230769230769231,0.9166666666666666,1.0,0.8461538461538461,0.8701063269755686,3,2,LR(isotonic)
0.996606334841629,0.9957734573119188,0.029318769863467747,0.04430806723512909,0.95,0.9468325791855203,0.9411764705882353,0.96,0.9230769230769231,0.8982493927400419,3,3,LR(isotonic)
0.9598416289592759,0.9547309288585086,0.0948280568091792,0.10339233074343737,0.8666666666666667,0.8687782805429864,0.8518518518518519,0.8214285714285714,0.8846153846153846,0.7326009177709311,3,4,LR(isotonic)
0.9921436588103254,0.9901626494219087,0.03197829119780871,0.04984508203784388,0.95,0.9478114478114479,0.9433962264150944,0.9615384615384616,0.9259259259259259,0.8991619216989439,4,0,LR(isotonic)
0.9781144781144782,0.9759265552443898,0.058947670252296705,0.07421939817556833,0.9166666666666666,0.9141414141414141,0.9056603773584906,0.9230769230769231,0.8888888888888888,0.8315557621727075,4,1,LR(isotonic)
