auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,repeat,fold
0.957351290684624,0.9576937027903212,0.0776247764061462,0.08446021013672647,0.9166666666666666,0.9107744107744108,0.9019607843137255,0.9583333333333334,0.8518518518518519,0.8342867721932552,0,0
0.9910213243546577,0.9877988377102709,0.049435709230817505,0.06500209561281602,0.9166666666666666,0.9107744107744108,0.9019607843137255,0.9583333333333334,0.8518518518518519,0.8342867721932552,0,1
0.9739819004524887,0.9399231108566665,0.04824338314293195,0.08285446752501016,0.95,0.9558823529411764,0.9454545454545454,0.896551724137931,1.0,0.9041262185485703,0,2
0.997737556561086,0.9972527472527473,0.026166916105507417,0.055829917952069354,0.95,0.9513574660633484,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.8991619216989439,0,3
0.9751131221719458,0.9724583749583751,0.046989942882791916,0.05878500164958496,0.95,0.9468325791855203,0.9411764705882353,0.96,0.9230769230769231,0.8982493927400419,0,4
0.9769921436588103,0.9788929588929589,0.04419945256695859,0.05806802395061838,0.95,0.9511784511784511,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.8998356431616747,1,0
0.9842873176206509,0.9810741089476722,0.057254543861693125,0.07909241738317571,0.9,0.8922558922558923,0.88,0.9565217391304348,0.8148148148148148,0.8027374854050526,1,1
0.9943438914027148,0.9926324316708932,0.033258556760169006,0.06174469563358455,0.95,0.9513574660633484,0.9433962264150944,0.9259259259259259,0.9615384615384616,0.8991619216989439,1,2
0.9705882352941176,0.9638585204257601,0.07030407218864047,0.06053498879352082,0.9166666666666666,0.9174208144796381,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.8315557621727075,1,3
0.9621040723981901,0.9267905629429336,0.0553194950093368,0.05245954114827892,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,1,4
0.994388327721661,0.9935000527593121,0.03120435767581216,0.060532068240401575,0.95,0.9511784511784511,0.9454545454545454,0.9285714285714286,0.9629629629629629,0.8998356431616747,2,0
0.9219977553310887,0.9230719935570297,0.08551413281549937,0.10754729893987414,0.9,0.898989898989899,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.797979797979798,2,1
0.9739819004524887,0.968439925336477,0.06800581514990303,0.09659362570300073,0.9333333333333333,0.9230769230769231,0.9166666666666666,1.0,0.8461538461538461,0.8701063269755686,2,2
0.9966063348416289,0.9956169186938418,0.02504799143134312,0.048209947816438656,0.9666666666666667,0.9660633484162896,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9321266968325792,2,3
0.9626696832579185,0.930267375168691,0.0723143157685583,0.07966511489731978,0.9166666666666666,0.9174208144796381,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.8315557621727075,2,4
0.988776655443322,0.9871188086198228,0.042636190502238304,0.07042043579677987,0.9333333333333333,0.936026936026936,0.9285714285714286,0.896551724137931,0.9629629629629629,0.8681650951661232,3,0
0.9758698092031426,0.9620391285600347,0.06739091613381253,0.06844680475518516,0.9166666666666666,0.9175084175084175,0.9090909090909091,0.8928571428571429,0.9259259259259259,0.832683729492893,3,1
0.9756787330316742,0.9792899408284024,0.053462128446849014,0.08709239489824597,0.9333333333333333,0.9230769230769231,0.9166666666666666,1.0,0.8461538461538461,0.8701063269755686,3,2
0.995475113122172,0.9941239316239316,0.036063397493101654,0.08501692806752326,0.9166666666666666,0.9083710407239819,0.8979591836734694,0.9565217391304348,0.8461538461538461,0.8324272430248784,3,3
0.9394796380090498,0.8826106566144517,0.1090094270596922,0.13786190289179417,0.85,0.8540723981900452,0.8363636363636363,0.7931034482758621,0.8846153846153846,0.7022121747039765,3,4
0.9955106621773288,0.99480021893815,0.029019634516469106,0.06657245813194722,0.95,0.9478114478114479,0.9433962264150944,0.9615384615384616,0.9259259259259259,0.8991619216989439,4,0
0.9702581369248036,0.9710389062240914,0.054526745081689185,0.07602652464494568,0.9166666666666666,0.9208754208754208,0.9122807017543859,0.8666666666666667,0.9629629629629629,0.83753151271601,4,1
0.9841628959276018,0.9783221281381816,0.04982658540037492,0.08026759369269783,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,4,2
