auc,ap,brier,ece,acc,bacc,f1,prec,rec,mcc,repeat,fold
0.9764309764309764,0.9734931645157088,0.07045308040949419,0.09861426013232681,0.9,0.8922558922558923,0.88,0.9565217391304348,0.8148148148148148,0.8027374854050526,0,0
0.9915824915824916,0.9891959891959892,0.03742487081729299,0.04572173098465882,0.9333333333333333,0.9292929292929293,0.9230769230769231,0.96,0.8888888888888888,0.8664002254439634,0,1
0.9819004524886878,0.9791860247032661,0.0621712743042708,0.0759586712987101,0.9,0.9027149321266968,0.8888888888888888,0.8571428571428571,0.9230769230769231,0.8000181801424892,0,2
0.9937782805429863,0.9914451645220876,0.033317977164608964,0.06744961447745106,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,0,3
0.9852941176470589,0.9857164857164857,0.040146333414061326,0.0701492790319687,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8642533936651584,0,4
0.9876543209876544,0.9846010031195216,0.04612398303044077,0.05928300094966761,0.9333333333333333,0.9326599326599327,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.8653198653198653,1,0
0.9792368125701459,0.9743956052827021,0.06293077331785474,0.05846897002605782,0.9166666666666666,0.9074074074074074,0.8979591836734694,1.0,0.8148148148148148,0.8411910241920598,1,1
0.9802036199095023,0.9759588074067712,0.06083828132159372,0.07388781527319822,0.9,0.8936651583710407,0.88,0.9166666666666666,0.8461538461538461,0.79639080275258,1,2
0.9785067873303167,0.9738465557431075,0.06442972263688054,0.07574313350257478,0.9,0.8981900452488687,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.7963800904977375,1,3
0.9734162895927603,0.9725457875457876,0.046336137396507465,0.06440670013458234,0.9166666666666666,0.9174208144796381,0.9056603773584906,0.8888888888888888,0.9230769230769231,0.8315557621727075,1,4
0.9955106621773289,0.99480021893815,0.028795352718439464,0.04504115817113434,0.95,0.9545454545454546,0.9473684210526315,0.9,1.0,0.9045340337332909,2,0
0.9242424242424243,0.8985568199797672,0.09153627939030724,0.1265853193458553,0.9166666666666666,0.9141414141414141,0.9056603773584906,0.9230769230769231,0.8888888888888888,0.8315557621727075,2,1
